,sales_id,customer_id,product_id,date,number_of_unit_sold,total_sales
0,S1,CPD34,P31,2023-01-01,2,6.24
1,S2,CPD34,P37,2023-01-01,2,7.84
2,S3,CPD34,P1,2023-01-01,2,5.34
3,S4,CPD34,P14,2023-01-01,1,4.9
4,S5,CBB36,P32,2023-01-01,2,9.2
5,S6,CBB36,P21,2023-01-01,1,1.56
6,S7,CBB36,P5,2023-01-01,2,13.4
7,S8,CBB36,P16,2023-01-01,1,5.92
8,S9,CBB36,P48,2023-01-01,2,5.78
9,S10,CKH391,P19,2023-01-01,1,6.24
10,S11,CKH391,P44,2023-01-01,2,4.26
11,S12,CKH391,P17,2023-01-01,2,10.8
12,S13,CKH391,P30,2023-01-01,1,2.42
13,S14,CDH468,P29,2023-01-01,2,5.94
14,S15,CDH468,P40,2023-01-01,1,2.42
15,S16,CZR597,P16,2023-01-01,1,5.92
16,S17,CAD200,P35,2023-01-01,1,1.76
17,S18,CAD200,P24,2023-01-01,2,6.96
18,S19,CAD200,P50,2023-01-01,2,7.28
19,S20,CJB447,P5,2023-01-01,1,6.7
20,S21,CJB447,P42,2023-01-01,1,1.27
21,S22,CJB447,P38,2023-01-01,2,5.78
22,S23,CJB447,P21,2023-01-01,1,1.56
23,S24,CBR38,P32,2023-01-01,2,9.2
24,S25,CJM838,P43,2023-01-01,2,2.26
25,S26,CJM838,P5,2023-01-01,2,13.4
26,S27,CJM838,P35,2023-01-01,1,1.76
27,S28,CJM838,P6,2023-01-01,1,7.26
28,S29,CJM838,P10,2023-01-01,1,9.17
29,S30,CKP453,P13,2023-01-01,2,10.12
30,S31,CKP453,P23,2023-01-01,2,4.88
31,S32,CSB457,P44,2023-01-01,1,2.13
32,S33,CSB457,P18,2023-01-01,1,7.46
33,S34,CMD886,P18,2023-01-01,2,14.92
34,S35,CGS310,P43,2023-01-01,1,1.13
35,S36,CGS310,P42,2023-01-01,1,1.27
36,S37,CSM492,P21,2023-01-01,1,1.56
37,S38,CSM492,P28,2023-01-01,1,2.44
38,S39,CSM492,P15,2023-01-01,2,10.76
39,S40,CCD919,P16,2023-01-01,2,11.84
40,S41,CCD919,P6,2023-01-01,2,14.52
41,S42,CCD919,P17,2023-01-01,1,5.4
42,S43,CHR400,P44,2023-01-01,2,4.26
43,S44,CHR400,P16,2023-01-01,2,11.84
44,S45,CHR400,P48,2023-01-01,2,5.78
45,S46,CHR400,P34,2023-01-01,1,3.13
46,S47,CAJ171,P44,2023-01-01,2,4.26
47,S48,CAJ171,P30,2023-01-01,2,4.84
48,S49,CAJ171,P26,2023-01-01,2,6.96
49,S50,CAJ171,P9,2023-01-01,2,13.4
50,S51,CNB719,P36,2023-01-01,1,2.59
51,S52,CNB719,P29,2023-01-01,2,5.94
52,S53,CSD849,P1,2023-01-01,2,5.34
53,S54,CBW549,P4,2023-01-01,2,11.68
54,S55,CAM95,P7,2023-01-01,2,9.5
55,S56,CAM95,P39,2023-01-01,2,3.94
56,S57,CNS143,P28,2023-01-01,2,4.88
57,S58,CNS143,P50,2023-01-01,2,7.28
58,S59,CNS143,P33,2023-01-01,2,4.78
59,S60,CNS143,P29,2023-01-01,2,5.94
60,S61,CEW337,P34,2023-01-01,1,3.13
61,S62,CEW337,P10,2023-01-01,1,9.17
62,S63,CEW337,P48,2023-01-01,2,5.78
63,S64,CEW337,P16,2023-01-01,1,5.92
64,S65,CEW337,P21,2023-01-01,1,1.56
65,S66,CAG986,P28,2023-01-01,2,4.88
66,S67,CAG986,P16,2023-01-01,1,5.92
67,S68,CAG986,P46,2023-01-01,1,2.47
68,S69,CLM612,P50,2023-01-01,2,7.28
69,S70,CLM612,P7,2023-01-01,1,4.75
70,S71,CLM612,P19,2023-01-01,2,12.48
71,S72,CLM612,P11,2023-01-01,2,7.8
72,S73,CLM612,P43,2023-01-01,1,1.13
73,S74,CDB359,P6,2023-01-01,1,7.26
74,S75,CDB359,P38,2023-01-01,2,5.78
75,S76,CMW213,P44,2023-01-01,2,4.26
76,S77,CDF909,P48,2023-01-01,2,5.78
77,S78,CDF909,P49,2023-01-01,2,3.62
78,S79,CDF909,P45,2023-01-01,1,1.12
79,S80,CDF909,P34,2023-01-01,2,6.26
80,S81,CLM612,P8,2023-01-01,1,5.38
81,S82,CLM612,P41,2023-01-01,2,1.66
82,S83,CLM612,P1,2023-01-01,2,5.34
83,S84,CCH896,P42,2023-01-01,2,2.54
84,S85,CCH896,P13,2023-01-01,1,5.06
85,S86,CCH896,P5,2023-01-01,1,6.7
86,S87,CCH896,P50,2023-01-01,2,7.28
87,S88,CLB261,P30,2023-01-01,1,2.42
88,S89,CLB261,P28,2023-01-01,2,4.88
89,S90,CLB261,P49,2023-01-01,2,3.62
90,S91,CCR712,P33,2023-01-01,2,4.78
91,S92,CCR712,P32,2023-01-01,2,9.2
92,S93,CCR712,P17,2023-01-01,2,10.8
93,S94,CJC358,P31,2023-01-01,2,6.24
94,S95,CJC358,P29,2023-01-01,1,2.97
95,S96,CJC358,P38,2023-01-01,2,5.78
96,S97,CNB821,P11,2023-01-01,1,3.9
97,S98,CNB821,P39,2023-01-01,2,3.94
98,S99,CNB821,P27,2023-01-01,1,3.07
99,S100,CNB821,P47,2023-01-01,2,2.5
100,S101,CMB668,P5,2023-01-01,2,13.4
101,S102,CMB668,P48,2023-01-01,2,5.78
102,S103,CMB668,P26,2023-01-01,1,3.48
103,S104,CDR247,P20,2023-01-01,1,6.55
104,S105,CDR247,P7,2023-01-01,1,4.75
105,S106,CTH584,P27,2023-01-01,1,3.07
106,S107,CTH584,P29,2023-01-01,2,5.94
107,S108,CTH584,P38,2023-01-01,1,2.89
108,S109,CTH584,P2,2023-01-01,2,4.6
109,S110,CTH584,P26,2023-01-01,1,3.48
110,S111,CTH584,P13,2023-01-01,1,5.06
111,S112,CBR38,P24,2023-01-01,1,3.48
112,S113,CBR38,P26,2023-01-01,1,3.48
113,S114,CBR38,P21,2023-01-01,1,1.56
114,S115,CBR38,P39,2023-01-01,2,3.94
115,S116,CBR38,P41,2023-01-01,1,0.83
116,S117,CJS32,P33,2023-01-01,2,4.78
117,S118,CJS32,P23,2023-01-01,1,2.44
118,S119,CJS32,P6,2023-01-01,1,7.26
119,S120,CJS32,P26,2023-01-01,2,6.96
120,S121,CJS32,P29,2023-01-01,2,5.94
121,S122,CAK625,P47,2023-01-01,2,2.5
122,S123,CAK625,P29,2023-01-01,2,5.94
123,S124,CAK625,P39,2023-01-01,2,3.94
